Designator,Mid X,Mid Y,Rotation,Layer
J1,112.5,-48.0,0.0,top
J2,112.5,-54.0,0.0,top
J3,112.5,-60.0,0.0,top
J4,112.5,-66.0,0.0,top
J5,112.5,-72.0,0.0,top
J6,112.5,-78.0,0.0,top
J7,112.5,-84.0,0.0,top
